question_id,student_answer,reference_answer,score,method,similarity,passed,gt_answer,cer
Q0001,he,like,0.0247,tfidf_similarity,0.0493,False,like,0.75
Q0002,dt,still,0.0,tfidf_similarity,0.0,False,still,0.8
Q0003,ve,&apos;m,0.0,tfidf_similarity,0.0,False,&apos;m,1.0
Q0004,ou,you,0.1955,tfidf_similarity,0.3911,False,you,0.3333333333333333
Q0005,mice,nice,0.6264,tfidf_similarity,0.6264,True,nice,0.25
Q0006,deen,trees,0.032,tfidf_similarity,0.064,False,trees,0.6
Q0007,whining,whirring,0.2323,tfidf_similarity,0.4645,False,whirring,0.25
Q0008,ould,would,0.6949,tfidf_similarity,0.6949,True,would,0.2
Q0009,Alt,all,0.5024,tfidf_similarity,0.5024,True,all,0.3333333333333333
Q0010,atth,with,0.1717,tfidf_similarity,0.3434,False,with,0.5
Q0011,Whew,when,0.5347,tfidf_similarity,0.5347,True,When,0.25
Q0012,brow,from,0.0576,tfidf_similarity,0.1152,False,from,0.5
Q0013,Offer,officer,0.5921,tfidf_similarity,0.5921,True,Officer,0.2857142857142857
Q0014,POPEFAULY,hopefully,0.2467,tfidf_similarity,0.4933,False,hopefully,0.3333333333333333
Q0015,fhe,that,0.0,tfidf_similarity,0.0,False,that,0.75
Q0016,ofowsl,almost,0.0,tfidf_similarity,0.0,False,almost,0.8333333333333334
Q0017,md,may,0.1394,tfidf_similarity,0.2787,False,may,0.6666666666666666
Q0018,fede,flecked,0.0663,tfidf_similarity,0.1327,False,flecked,0.5714285714285714
Q0019,Kho,what,0.0,tfidf_similarity,0.0,False,What,0.75
Q0020,t,&apos;,0.0,tfidf_similarity,0.0,False,&apos;,1.0
Q0021,dB,&quot;,0.0,tfidf_similarity,0.0,False,&quot;,1.0
Q0022,henner,near,0.0628,tfidf_similarity,0.1256,False,near,1.0
Q0023,QN,&quot;,0.0,tfidf_similarity,0.0,False,&quot;,0.8333333333333334
Q0024,hoowee,have,0.0443,tfidf_similarity,0.0886,False,have,1.0
Q0025,hep,her,0.1852,tfidf_similarity,0.3703,False,her,0.3333333333333333
Q0026,COME,eerie,0.0115,tfidf_similarity,0.0231,False,eerie,0.8
Q0027,bys,trying,0.0,tfidf_similarity,0.0,False,trying,0.8333333333333334
Q0028,oul,out,0.1936,tfidf_similarity,0.3872,False,out,0.3333333333333333
Q0029,heise,houses,0.0556,tfidf_similarity,0.1112,False,houses,0.5
Q0030,Op,camp,0.0845,tfidf_similarity,0.169,False,camp,0.75
Q0031,linkke,tinkle,0.1255,tfidf_similarity,0.2509,False,tinkle,0.3333333333333333
Q0032,feed,failed,0.1134,tfidf_similarity,0.2269,False,failed,0.5
Q0033,SaiweE,same,0.1655,tfidf_similarity,0.331,False,same,0.75
Q0034,ge,&quot;,0.0,tfidf_similarity,0.0,False,&quot;,1.0
Q0035,Ellon,balicou,0.0,tfidf_similarity,0.0,False,Balicou,0.7142857142857143
Q0036,pet,&quot;,0.0,tfidf_similarity,0.0,False,&quot;,0.8333333333333334
Q0037,pasted,pushed,0.089,tfidf_similarity,0.1781,False,pushed,0.3333333333333333
Q0038,Was,was,1.0,exact_match,1.0,True,was,0.0
Q0039,Delt,well,0.0618,tfidf_similarity,0.1235,False,Well,0.5
Q0040,Tepected,repeated,0.5034,tfidf_similarity,0.5034,True,repeated,0.25
Q0041,BW,bill,0.0778,tfidf_similarity,0.1557,False,Bill,0.75
Q0042,for,for,1.0,exact_match,1.0,True,for,0.0
Q0043,Cre,are,0.2089,tfidf_similarity,0.4178,False,are,0.3333333333333333
Q0044,oy,quarrel,0.0,tfidf_similarity,0.0,False,quarrel,1.0
Q0045,ana,and,0.1649,tfidf_similarity,0.3298,False,and,0.3333333333333333
Q0046,open,open,1.0,exact_match,1.0,True,open,0.0
Q0047,f,&quot;,0.0,tfidf_similarity,0.0,False,&quot;,1.0
Q0048,quad,great,0.0,tfidf_similarity,0.0,False,great,0.8
Q0049,cord,sound,0.0175,tfidf_similarity,0.035,False,sound,0.6
Q0050,tM,little,0.0,tfidf_similarity,0.0,False,little,0.8333333333333334
Q0051,there,their,0.135,tfidf_similarity,0.27,False,their,0.4
Q0052,lesobe,lord,0.049,tfidf_similarity,0.098,False,Lord,1.0
Q0053,Prewe,pierre,0.0631,tfidf_similarity,0.1262,False,Pierre,0.5
Q0054,fut,his,0.0,tfidf_similarity,0.0,False,his,1.0
Q0055,Pree,face,0.0132,tfidf_similarity,0.0264,False,face,0.75
Q0056,Ceteed,indeed,0.1999,tfidf_similarity,0.3997,False,indeed,0.5
Q0057,hd,punctual,0.0,tfidf_similarity,0.0,False,punctual,1.0
Q0058,fire,time,0.0203,tfidf_similarity,0.0405,False,time,0.5
Q0059,a,&quot;,0.0,tfidf_similarity,0.0,False,&quot;,1.0
Q0060,eds,charles,0.0268,tfidf_similarity,0.0536,False,Charles,0.8571428571428571
Q0061,bean,been,0.1999,tfidf_similarity,0.3999,False,been,0.25
Q0062,lq,&quot;,0.0,tfidf_similarity,0.0,False,&quot;,0.8333333333333334
Q0063,pact,space,0.1664,tfidf_similarity,0.3328,False,Space,0.4
Q0064,munded,sounded,0.727,tfidf_similarity,0.727,True,sounded,0.2857142857142857
Q0065,Olen,join,0.0342,tfidf_similarity,0.0684,False,join,0.75
Q0066,Hoorking,working,0.7416,tfidf_similarity,0.7416,True,working,0.2857142857142857
Q0067,Cedlomee,balance,0.0423,tfidf_similarity,0.0845,False,balance,0.8571428571428571
Q0068,ee,refuse,0.0169,tfidf_similarity,0.0337,False,refuse,0.6666666666666666
Q0069,Steve,steve,1.0,exact_match,1.0,True,Steve,0.0
Q0070,dining,dining,1.0,exact_match,1.0,True,dining,0.0
Q0071,Quod,had,0.0353,tfidf_similarity,0.0705,False,had,1.0
Q0072,oat,you,0.0,tfidf_similarity,0.0,False,you,1.0
Q0073,ri,&quot;,0.0,tfidf_similarity,0.0,False,&quot;,1.0
Q0074,Geoffrey,geoffrey,1.0,exact_match,1.0,True,Geoffrey,0.0
Q0075,Aowenes,however,0.0843,tfidf_similarity,0.1686,False,however,0.42857142857142855
Q0076,be,the,0.0396,tfidf_similarity,0.0792,False,the,0.6666666666666666
Q0077,eh,guests,0.0,tfidf_similarity,0.0,False,guests,0.8333333333333334
Q0078,A,old,0.0,tfidf_similarity,0.0,False,old,1.0
Q0079,Rat,that,0.1659,tfidf_similarity,0.3319,False,that,0.5
Q0080,follawetl,followed,0.5509,tfidf_similarity,0.5509,True,followed,0.375
